what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1582896945362
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1582896946937
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1582896947712
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1582896954578
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1582896960113
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1582896960341
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1582896963337
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1582896964646
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1582896964693
error,log,,,"The program file specified in the launch configuration does not exist",1582896964694
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1582896966906
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProblemView",1582896970196
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1582896978871
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1582896985985
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1582896988494
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1582896989808
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1582896989858
error,log,,,"The program file specified in the launch configuration does not exist",1582896989941
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1582896996878
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1582896998056
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1582896998358
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1582896998903
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1582896999074
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1582896999983
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1582897000177
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1582897002547
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1582897003380
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1582897009191
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1582897015505
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1582897020771
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1582897030281
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1582897033290
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1582897035904
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1582897038650
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1582897039193
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1582897060522
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1582897065278
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1582897068925
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1582897069925
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProblemView",1582897136959
