what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1585902662078
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.wordNext",1585902662378
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1585902693743
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1585902705137
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1585902707197
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1585902707278
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1585902717123
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1585902720498
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1585902723328
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1585902735848
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1585902747328
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1585902749575
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1585902749818
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1585902796518
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1585902801498
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1585902819238
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1585902822978
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1585902823258
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1585902836943
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1585902839213
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1585902839478
